DL Lesson	Simplified Chinese	Selected Pinyin	Simple English Definition	Clean CC-CEDICT English definition
Gourmet 1	小笼包	xiǎo lóng bāo	GT: Dumplings	steamed dumpling
Gourmet 1	拉	lā	GT: Pull	to pull / to play (a bowed instrument) / to drag / to draw / to chat
Gourmet 1	笼	lóng	GT: cage	enclosing frame made of bamboo, wire etc / cage / basket / steamer basket / to cover / to cage / to embrace / to manipulate through trickery || to cover / to cage / covering / also pr. [long2]
Gourmet 1	粥	yù	GT: Gruel	see 葷粥｜荤粥 || congee / gruel / porridge / CL: 碗
Gourmet 1	油条	yóu tiáo	GT: Fritters	youtiao (deep-fried breadstick) / CL: 根 / slick and sly person
Gourmet 1	豆浆	dòu jiāng	GT: Milk	soy milk
Gourmet 1	豆	dòu	GT: beans	bean / pea / CL: 棵, 粒 / sacrificial vessel
Gourmet 1	浆	jiāng	GT: Pulp	broth / serum / to starch || starch paste
Gourmet 1	火锅	huǒ guō	GT: Hot Pot	hotpot
Gourmet 1	包子	bāo zi	GT: bun	steamed stuffed bun / CL: 個｜个
Gourmet 1	炒饭	chǎo fàn	GT: Fried rice	fried rice / (slang) (Tw) to have sex
Gourmet 1	锅	guō	GT: pot	pot / pan / boiler / CL: 口, 隻｜只
Gourmet 1	炒	chǎo	GT: fry	to sauté / to stir-fry / to speculate / to hype / to fire (sb)
Time 4	夏	xià	GT: summer	the Xia or Hsia dynasty c. 2000 BC / Xia of the Sixteen Kingdoms (407-432) / surname Xia || summer
Time 4	冬	dōng	GT: winter	winter || surname Dong || (onom.) beating a drum / rat-a-tat
Time 4	秋	qiū	GT: autumn	surname Qiu || autumn / fall / harvest time || see 鞦韆｜秋千
Time 4	季	jì	GT: season	surname Ji || season / the last month of a season / fourth or youngest amongst brothers / classifier for seasonal crop yields
Time 4	澳	ào	GT: Australia	abbr. for Macao 澳門｜澳门 / abbr. for Australia 澳大利亞｜澳大利亚 || deep bay / cove / harbor
Time 4	亚	yà	GT: Asia	Asia / Asian / second / next to / inferior / sub- / Taiwan pr. [ya3]
Time 4	季节	jì jié	GT: season	time / season / period / CL: 個｜个
Time 4	澳大利亚	ào dà lì yà	GT: Australia	Australia
Time 4	越来越	yuè lái yuè	GT: More	more and more
Time 4	前天	qián tiān	GT: The day before yesterday	the day before yesterday
Time 4	后天	hòu tiān	GT: acquired	the day after tomorrow / acquired (not innate) / a posteriori
Time 4	堵车	dǔ chē	GT: Traffic jam	traffic jam / choking
Time 4	大概	dà gài	GT: probably	roughly / probably / rough / approximate / about / general idea
Time 4	准时	zhǔn shí	GT: on time	on time / punctual / on schedule
Time 4	刚	gāng	GT: just	hard / firm / strong / just / barely / exactly
Time 4	堵	dǔ	GT: Blocking	to stop up / (to feel) stifled or suffocated / wall / classifier for walls
Time 4	概	gài	GT: General	general / approximate
Location 5	城	chéng	GT: city	city walls / city / town / CL: 座, 道, 個｜个
Location 5	附	fù	GT: Attached	to add / to attach / to be close to / to be attached
Location 5	园	yuán	GT: garden	surname Yuan || land used for growing plants / site used for public recreation
Location 5	城市	chéng shì	GT: city	city / town / CL: 座
Location 5	附近	fù jìn	GT: nearby	(in the) vicinity / nearby / neighboring / next to
Location 5	公园	gōng yuán	GT: park	park (for public recreation) / CL: 個｜个, 座
Location 5	图	tú	GT: Map	diagram / picture / drawing / chart / map / CL: 張｜张 / to plan / to scheme / to attempt / to pursue / to seek
Location 5	方	fāng	GT: How to	surname Fang || square / power or involution (mathematics) / upright / honest / fair and square / direction / side / party (to a contract, dispute etc) / place / method / prescription (medicine) / just when / only or just / classifier for square things / abbr. for square or cubic meter
Location 5	中间	zhōng jiān	GT: intermediate	between / intermediate / mid / middle
Location 5	图书馆	tú shū guǎn	GT: library	library / CL: 家, 個｜个
Location 5	地方	dì fāng	GT: local	region / regional (away from the central administration) / local || area / place / space / room / territory / CL: 處｜处, 個｜个, 塊｜块
Location 5	上面	shàng miàn	GT: On	on top of / above-mentioned / also pr. [shang4 mian5]
Location 5	下面	xià miàn	GT: below	below / under / next / the following / also pr. [xia4 mian5] || to boil noodles
Location 5	咖啡馆	kā fēi guǎn	GT: coffee shop	café / coffee shop / CL: 家
Shopping 4	折	shé	GT: fold	to break (e.g. stick or bone) / a loss || to turn sth over / to turn upside down / to tip sth out (of a container) || to break / to fracture / to snap / to suffer loss / to bend / to twist / to turn / to change direction / convinced / to convert into (currency) / discount / rebate / tenth (in price) / classifier for theatrical scenes / to fold / accounts book
Shopping 4	角	jué	GT: angle	surname Jue || angle / corner / horn / horn-shaped / unit of money equal to 0.1 yuan / CL: 個｜个 || role (theater) / to compete / ancient three legged wine vessel / third note of pentatonic scale
Shopping 4	花	huā	GT: flower	surname Hua || flower / blossom / CL: 朵, 支, 束, 把, 盆, 簇 / fancy pattern / florid / to spend (money, time)
Shopping 4	打折	dǎ zhé	GT: Discount	to give a discount
Shopping 4	旧	jiù	GT: old	old / opposite: new 新 / former / worn (with age)
Shopping 4	皮	pí	GT: skin	surname Pi || leather / skin / fur / CL: 張｜张 / pico- (one trillionth) / naughty
Shopping 4	换	huàn	GT: change	to exchange / to change (clothes etc) / to substitute / to switch / to convert (currency)
Shopping 4	皮鞋	pí xié	GT: leather shoes	leather shoes
Shopping 4	经过	jīng guò	GT: through	to pass / to go through / process / course / CL: 個｜个
Shopping 4	退货	tuì huò	GT: Returns	to return merchandise / to withdraw a product
Shopping 4	退款	tuì kuǎn	GT: Refund	to refund / refund
Shopping 4	退	tuì	GT: Retreat	to retreat / to decline / to move back / to withdraw
Shopping 4	货	huò	GT: goods	goods / money / commodity / CL: 個｜个
Shopping 4	款	kuǎn	GT: paragraph	section / paragraph / funds / CL: 筆｜笔, 個｜个 / classifier for versions or models (of a product)
Shopping 4	袋子	dài zi	GT: bag	bag
Daily Routine 2	惯	guàn	GT: used	accustomed to / used to / indulge / to spoil (a child)
Daily Routine 2	刷	shuā	GT: brush	to brush / to paint / to daub / to paste up / to skip class (of students) / to fire from a job || to select
Daily Routine 2	习惯	xí guàn	GT: habit	habit / custom / usual practice / to be used to / CL: 個｜个
Daily Routine 2	刷牙	shuā yá	GT: Brush teeth	to brush one's teeth
Daily Routine 2	马上	mǎ shàng	GT: immediately	at once / right away / immediately / on horseback (i.e. by military force)
Daily Routine 2	以后	yǐ hòu	GT: after	after / later / afterwards / following / later on / in the future
Daily Routine 2	澡	zǎo	GT: bath	bath
Daily Routine 2	总	zǒng	GT: total	always / to assemble / gather / total / overall / head / chief / general / in every case
Daily Routine 2	洗澡	xǐ zǎo	GT: Bathe	to bathe / to take a shower
Daily Routine 2	一边	yī biān	GT: One side	one side / either side / on the one hand / on the other hand / doing while
Daily Routine 2	总是	zǒng shì	GT: always	always
Daily Routine 2	讲	jiǎng	GT: speak	to speak / to explain / to negotiate / to emphasise / to be particular about / as far as sth is concerned / speech / lecture
Daily Routine 2	故	gù	GT: Therefore	happening / instance / reason / cause / intentional / former / old / friend / therefore / hence / (of people) to die, dead
Daily Routine 2	故事	gù shì	GT: story	old practice / CL: 個｜个 || narrative / story / tale
Daily Routine 2	以前	yǐ qián	GT: before	before / formerly / previous / ago
Daily Routine 2	做梦	zuò mèng	GT: dream	to dream / to have a dream / fig. illusion / fantasy / pipe dream
Daily Routine 2	梦	mèng	GT: dream	dream / CL: 場｜场, 個｜个
Food 3	除	chú	GT: except	to get rid of / to remove / to exclude / to eliminate / to wipe out / to divide / except / not including
Food 3	其	qí	GT: its	his / her / its / their / that / such / it (refers to sth preceding it)
Food 3	饺	jiǎo	GT: dumpling	dumplings with meat filling
Food 3	北方	běi fāng	GT: north	north / the northern part a country / China north of the Yellow River
Food 3	除了	chú le	GT: apart from	besides / apart from (... also...) / in addition to / except (for)
Food 3	其他	qí tā	GT: other	other / (sth or sb) else / the rest
Food 3	饺子	jiǎo zi	GT: Dumplings	dumpling / pot-sticker / CL: 個｜个, 隻｜只
Food 3	辣	là	GT: hot	hot (spicy) / pungent
Food 3	极	jí	GT: pole	extremely / pole (geography, physics) / utmost / top
Food 3	苦	kǔ	GT: bitter	bitter / hardship / pain / to suffer / to bring suffering to / painstakingly
Food 3	盐	yán	GT: salt	salt / CL: 粒
Food 3	咸	xián	GT: salty	surname Xian || all / everyone / each / widespread / harmonious || salted / salty / stingy / miserly
Food 3	南	nán	GT: south	surname Nan || south
Food 3	南方	nán fāng	GT: south	south / the southern part of the country / the South
Food 3	难吃	nán chī	GT: Unpalatable	unpalatable
People 3	级	jí	GT: level	level / grade / rank / step (of stairs) / CL: 個｜个 / classifier: step, level
People 3	个子	gè zi	GT: Stature	height / stature / build / size
People 3	年级	nián jí	GT: grade	grade / year (in school, college etc) / CL: 個｜个
People 3	小学	xiǎo xué	GT: primary school	elementary school / primary school / CL: 個｜个
People 3	初中	chū zhōng	GT: junior high school	junior high school / abbr. for 初級中學｜初级中学
People 3	初	chū	GT: First	at first / (at the) beginning / first / junior / basic
People 3	较	jiào	GT: Relatively	to compare / to dispute / compared to / (before adj.) relatively / comparatively / rather / also pr. [jiao3]
People 3	年轻	nián qīng	GT: young	young
People 3	比较	bǐ jiào	GT: Compare	to compare / to contrast / comparatively / relatively / quite / comparison
People 3	眼镜	yǎn jìng	GT: glasses	spectacles / eyeglasses / CL: 副
People 3	戴	dài	GT: wore	surname Dai || to put on or wear (glasses, hat, gloves etc) / to respect / to bear / to support
People 3	镜	jìng	GT: mirror	mirror / lens
Location 6	先	xiān	GT: first	early / prior / former / in advance / first
Location 6	然后	rán hòu	GT: then	after / then (afterwards) / after that / afterwards
Location 6	西边	xī biān	GT: The west	west / west side / western part / to the west of
Location 6	东边	dōng bian	GT: The east	east / east side / eastern part / to the east of
Location 6	北边	běi biān	GT: North	north / north side / northern part / to the north of
Location 6	一直	yī zhí	GT: Up	straight (in a straight line) / continuously / always / from the beginning of ... up to ... / all along
Location 6	最后	zuì hòu	GT: At last	final / last / finally / ultimate
Location 6	南边	nán bian	GT: South	south / south side / southern part / to the south of
Location 6	直	zhí	GT: straight	surname Zhi / Zhi (c. 2000 BC), fifth of the legendary Flame Emperors 炎帝 descended from Shennong 神農｜神农 Farmer God || straight / to straighten / fair and reasonable / frank / straightforward / (indicates continuing motion or action) / vertical / vertical downward stroke in Chinese characters
Location 6	迷路	mí lù	GT: get lost	to lose the way / lost / labyrinth / labyrinthus vestibularis (of the inner ear)
Location 6	地址	dì zhǐ	GT: address	address / CL: 個｜个
Location 6	周围	zhōu wéi	GT: around	surroundings / environment / to encompass
Location 6	迷	mí	GT: fan	to bewilder / crazy about / fan / enthusiast / lost / confused
Location 6	址	zhǐ	GT: site	location / site
Location 6	围	wéi	GT: Enclose	surname Wei || to encircle / to surround / all around / to wear by wrapping around (scarf, shawl)
Daily Routine 3	般	bān	GT: Sort	sort / kind / class / way / manner || see 般樂｜般乐
Daily Routine 3	聊	liáo	GT: chat	to chat / to depend upon (literary) / temporarily / just / slightly
Daily Routine 3	聊天	liáo tiān	GT: to chat with	to chat / to gossip
Daily Routine 3	一般	yī bān	GT: general	same / ordinary / so-so / common / general / generally / in general
Daily Routine 3	见面	jiàn miàn	GT: meet	to meet / to see each other / CL: 次
Daily Routine 3	自己	zì jǐ	GT: Own	oneself / one's own
Daily Routine 3	一个人	yī gè rén	GT: A person	by oneself (without assistance) / alone (without company)
Daily Routine 3	自	zì	GT: from	self / oneself / from / since / naturally / surely
Daily Routine 3	己	jǐ	GT: already	self / oneself / sixth of the ten Heavenly Stems 十天干 / sixth in order / letter 'F' or roman 'VI' in list 'A, B, C', or 'I, II, III' etc / hexa
Travel 2	证	zhèng	GT: certificate	to admonish / variant of 證｜证 || certificate / proof / to prove / to demonstrate / to confirm / variant of 症
Travel 2	签	qiān	GT: sign	to sign one's name / visa / variant of 籤｜签 || inscribed bamboo stick (used in divination, gambling, drawing lots etc) / small wood sliver / label / tag
Travel 2	护	hù	GT: Protect	to protect
Travel 2	护照	hù zhào	GT: passport	passport / CL: 本, 個｜个
Travel 2	签证	qiān zhèng	GT: visa	visa / certificate / to certify / CL: 個｜个
Travel 2	发现	fā xiàn	GT: Find	to find / to discover
Travel 2	起飞	qǐ fēi	GT: take off	(of an aircraft) to take off
Travel 2	离开	lí kāi	GT: go away	to depart / to leave
Travel 2	检查	jiǎn chá	GT: an examination	inspection / to examine / to inspect / CL: 次
Travel 2	行李	xíng li	GT: Baggage	luggage / CL: 件
Travel 2	安全	ān quán	GT: Safety	safe / secure / safety / security
Travel 2	检	jiǎn	GT: Check	to check / to examine / to inspect / to exercise restraint
Travel 2	查	zhā	GT: check	surname Zha || to research / to check / to investigate / to examine / to refer to / to look up (e.g. a word in a dictionary) || see 山查
Travel 2	几乎	jī hū	GT: almost	almost / nearly / practically
Travel 2	忘记	wàng jì	GT: forget	to forget
Travel 2	海关	hǎi guān	GT: Customs	customs (i.e. border crossing inspection) / CL: 個｜个
Travel 2	忘	wàng	GT: forget	to forget / to overlook / to neglect
Travel 2	记	jì	GT: Remember	to record / to note / to memorize / to remember / mark / sign / classifier for blows, kicks, shots
Travel 2	乎	hū	GT: Down	(classical particle similar to 於｜于) in / at / from / because / than / (classical final particle similar to 嗎｜吗, 吧, 呢, expressing question, doubt or astonishment)
Languages 2	言	yán	GT: Speech	words / speech / to say / to talk
Languages 2	易	yì	GT: easy	surname Yi / abbr. for 易經｜易经, the Book of Changes || easy / amiable / to change / to exchange
Languages 2	容	róng	GT: Allow	surname Rong || to hold / to contain / to allow / to tolerate / appearance / look / countenance
Languages 2	种	zhǒng	GT: Kind	seed / species / kind / type / classifier for types, kinds, sorts || to plant / to grow / to cultivate
Languages 2	容易	róng yì	GT: easily	easy / likely / liable (to)
Languages 2	语言	yǔ yán	GT: Language	language / CL: 門｜门, 種｜种
Languages 2	更	gēng	GT: more	to change or replace / to experience / one of the five two-hour periods into which the night was formerly divided / watch (e.g. of a sentry or guard) || more / even more / further / still / still more
Languages 2	努力	nǔ lì	GT: Strive	great effort / to strive / to try hard
Languages 2	汉字	hàn zì	GT: Chinese character	Chinese character / CL: 個｜个 / Japanese: kanji / Korean: hanja / Vietnamese: hán tự
Languages 2	努	nǔ	GT: Strive	to exert / to strive
Languages 2	提高	tí gāo	GT: improve	to raise / to increase / to improve
Languages 2	水平	shuǐ píng	GT: Level	level (of achievement etc) / standard / horizontal
Languages 2	后来	hòu lái	GT: later	afterwards / later
Languages 2	提	tí	GT: mention	to carry (hanging down from the hand) / to lift / to put forward / to mention / to raise (an issue) / upwards character stroke / lifting brush stroke (in painting) / scoop for measuring liquid
Languages 2	平	píng	GT: level	surname Ping || flat / level / equal / to tie (make the same score) / to draw (score) / calm / peaceful / see also 平聲｜平声
Personality and Feelings	看起来	kàn qǐ lai	GT: Looks	seemingly / apparently / looks as if / appear to be / gives the impression that / seems on the face of it to be
Personality and Feelings	奇怪	qí guài	GT: strange	strange / odd / to marvel / to be baffled
Personality and Feelings	生气	shēng qì	GT: pissed off	to get angry / to take offense / angry / vitality / liveliness
Personality and Feelings	紧张	jǐn zhāng	GT: tension	nervous / keyed up / intense / tense / strained / in short supply / scarce / CL: 陣｜阵
Personality and Feelings	奇	jī	GT: odd	odd (number) || strange / odd / weird / wonderful / surprisingly / unusually
Personality and Feelings	怪	guài	GT: strange	bewildering / odd / strange / uncanny / devil / monster / to wonder at / to blame / quite / rather
Personality and Feelings	紧	jǐn	GT: tight	tight / strict / close at hand / near / urgent / tense / hard up / short of money / to tighten
Personality and Feelings	难过	nán guò	GT: Sorry	to feel sad / to feel unwell / (of life) to be difficult
Personality and Feelings	哭	kū	GT: cry	to cry / to weep
Personality and Feelings	可怕	kě pà	GT: terrible	awful / dreadful / fearful / formidable / frightful / scary / hideous / horrible / terrible / terribly
Personality and Feelings	热情	rè qíng	GT: enthusiasm	cordial / enthusiastic / passion / passionate / passionately
Personality and Feelings	关心	guān xīn	GT: care	to be concerned about / to care about
Personality and Feelings	经常	jīng cháng	GT: often	frequently / constantly / regularly / often / day-to-day / everyday / daily
Personality and Feelings	遇到	yù dào	GT: Experience	to meet / to run into / to come across
Personality and Feelings	好笑	hǎo xiào	GT: funny	laughable / funny / ridiculous
Personality and Feelings	遇	yù	GT: Encounter	surname Yu || to meet / to encounter / to treat / to receive / opportunity / chance
School 2	求	qiú	GT: begging	to seek / to look for / to request / to demand / to beseech
School 2	校长	xiào zhǎng	GT: principal	(college, university) president / headmaster / CL: 個｜个, 位, 名
School 2	要求	yāo qiú	GT: Claim	to request / to require / requirement / to stake a claim / to ask / to demand / CL: 點｜点
School 2	食堂	shí táng	GT: Cafeteria	dining hall / CL: 個｜个, 間｜间
School 2	食	shí	GT: food	to eat / food / animal feed / eclipse || to feed
School 2	堂	táng	GT: Hall	(main) hall / large room for a specific purpose / CL: 間｜间 / relationship between cousins etc on the paternal side of a family / of the same clan / classifier for classes, lectures etc / classifier for sets of furniture
School 2	必须	bì xū	GT: have to	to have to / must / compulsory / necessarily
School 2	完成	wán chéng	GT: carry out	to complete / to accomplish
School 2	作业	zuò yè	GT: operation	school assignment / homework / work / task / operation / CL: 個｜个 / to operate
School 2	高中	gāo zhōng	GT: Senior middle school	senior high school / abbr. for 高級中學｜高级中学 || to pass brilliantly (used in congratulatory fashion)
School 2	必	bì	GT: must	certainly / must / will / necessarily
School 2	成	chéng	GT: to make	surname Cheng || to succeed / to finish / to complete / to accomplish / to become / to turn into / to be all right / OK! / one tenth
School 2	须	xū	GT: must	must / to have to / to wait || beard / mustache / feeler (of an insect etc) / tassel
School 2	业	yè	GT: industry	surname Ye || line of business / industry / occupation / job / employment / school studies / enterprise / property / (Buddhism) karma / deed / to engage in / already
School 2	向	xiàng	GT: to	surname Xiang || towards / to face / to turn towards / direction / to support / to side with / shortly before / formerly / always / all along || to tend toward / to guide / variant of 向
School 2	借	jiè	GT: borrow	to lend / to borrow / by means of / to take (an opportunity)
School 2	笔记	bǐ jì	GT: notes	to take down (in writing) / notes / a type of literature consisting mainly of short sketches / CL: 本
School 2	铅笔	qiān bǐ	GT: pencil	(lead) pencil / CL: 支, 枝, 桿｜杆
School 2	铅	qiān	GT: lead	lead (chemistry)
School 2	清楚	qīng chu	GT: clear	clear / distinct / to understand thoroughly / to be clear about
School 2	黑板	hēi bǎn	GT: blackboard	blackboard / CL: 塊｜块, 個｜个
School 2	笔记本	bǐ jì běn	GT: notebook	notebook (stationery) / CL: 本 / notebook (computing)
School 2	清	qīng	GT: clear	Qing or Ch'ing dynasty of Imperial China (1644-1911) / surname Qing || clear / distinct / quiet / just and honest / pure / to settle or clear up / to clean up or purge
School 2	楚	chǔ	GT: Chu	surname Chu / abbr. for Hubei 湖北省 and Hunan 湖南省 provinces together / Chinese kingdom during the Spring and Autumn and Warring States Periods (722-221 BC) || distinct / clear / orderly / pain / suffering / deciduous bush used in Chinese medicine (genus Vitex) / punishment cane (old)
School 2	板	bǎn	GT: board	board / plank / plate / shutter / table tennis bat / clappers (music) / CL: 塊｜块 / accented beat in Chinese music / hard / stiff / to stop smiling or look serious || see 老闆｜老板, boss || to catch sight of in a doorway (old)
School 2	体育馆	tǐ yù guǎn	GT: stadium	gym / gymnasium / stadium / CL: 個｜个
Future	化	huà	GT: Of	to make into / to change into / -ization / to ... -ize / to transform / abbr. for 化學｜化学
Future	算	suàn	GT: Count	to regard as / to figure / to calculate / to compute
Future	搬	bān	GT: move	to move (i.e. relocate oneself) / to move (sth relatively heavy or bulky) / to shift / to copy indiscriminately
Future	变	biàn	GT: change	to change / to become different / to transform / to vary / rebellion
Future	打算	dǎ suàn	GT: intend	to plan / to intend / to calculate / plan / intention / calculation / CL: 個｜个
Future	变化	biàn huà	GT: Variety	change / variation / to change / to vary / CL: 個｜个
Future	机会	jī huì	GT: opportunity	opportunity / chance / occasion / CL: 個｜个
Future	留学	liú xué	GT: Study abroad	to study abroad
Future	国家	guó jiā	GT: country	country / nation / state / CL: 個｜个
Future	选择	xuǎn zé	GT: select	to select / to pick / choice / option / alternative
Future	选	xuǎn	GT: selected	to choose / to pick / to select / to elect
Future	择	zé	GT: Choose	to select / to choose / to pick over / to pick out / to differentiate / to eliminate / also pr. [zhai2]
Future	结婚	jié hūn	GT: marry	to marry / to get married / CL: 次
Future	愿意	yuàn yì	GT: willing	to wish / to want / ready / willing (to do sth)
Future	认真	rèn zhēn	GT: serious	conscientious / earnest / serious / to take seriously / to take to heart
Future	结	jiē	GT: Knot	(of a plant) to produce (fruit or seeds) / Taiwan pr. [jie2] || knot / sturdy / bond / to tie / to bind / to check out (of a hotel)
Future	愿	yuàn	GT: willing	honest / prudent / variant of 願｜愿 || to hope / to wish / to desire / hoped-for / ready / willing
Future	婚	hūn	GT: marriage	to marry / marriage / wedding / to take a wife
Future	当然	dāng rán	GT: of course	only natural / as it should be / certainly / of course / without doubt
Future	放心	fàng xīn	GT: rest assured	to feel relieved / to feel reassured / to be at ease
Future	害怕	hài pà	GT: Afraid	to be afraid / to be scared
Future	当	dāng	GT: when	(onom.) dong / ding dong (bell) || to be / to act as / manage / withstand / when / during / ought / should / match equally / equal / same / obstruct / just at (a time or place) / on the spot / right / just at || at or in the very same... / suitable / adequate / fitting / proper / to replace / to regard as / to think / to pawn / (coll.) to fail (a student)
Future	害	hài	GT: harm	to do harm to / to cause trouble to / harm / evil / calamity
Future	怕	pà	GT: afraid	surname Pa || to be afraid / to fear / to dread / to be unable to endure / perhaps
Future	分手	fēn shǒu	GT: Breaking up	to part company / to split up / to break up
Environment	境	jìng	GT: territory	border / place / condition / boundary / circumstances / territory
Environment	环	huán	GT: ring	surname Huan || ring / hoop / loop / (chain) link / classifier for scores in archery etc / to surround / to encircle / to hem in
Environment	层	céng	GT: Floor	layer / stratum / laminated / floor (of a building) / storey / classifier for layers / repeated / sheaf (math.)
Environment	方便	fāng biàn	GT: Convenience	convenient / suitable / to facilitate / to make things easy / having money to spare / (euphemism) to relieve oneself
Environment	环境	huán jìng	GT: surroundings	environment / circumstances / surroundings / CL: 個｜个 / ambient
Environment	草	cǎo	GT: grass	grass / straw / manuscript / draft (of a document) / careless / rough / CL: 棵, 撮, 株, 根
Environment	太阳	tài yang	GT: sun	sun / CL: 個｜个 / abbr. for 太陽穴｜太阳穴
Environment	星星	xīng xing	GT: star	star in the sky
Environment	阳	yáng	GT: Positive	positive (electric.) / sun / male principle (Taoism) / Yang, opposite: 陰｜阴 ☯
Environment	安静	ān jìng	GT: be quiet	quiet / peaceful / calm
Environment	楼	lóu	GT: floor	surname Lou || house with more than 1 story / storied building / floor / CL: 層｜层, 座, 棟｜栋
Environment	静	jìng	GT: Quiet	still / calm / quiet / not moving
Environment	声音	shēng yīn	GT: sound	voice / sound / CL: 個｜个
Environment	影响	yǐng xiǎng	GT: influences	influence / effect / to influence / to affect (usually adversely) / to disturb / CL: 股
Environment	邻居	lín jū	GT: neighbor	neighbor / next door / CL: 個｜个
Environment	声	shēng	GT: sound	sound / voice / tone / noise / classifier for sounds
Environment	邻	lín	GT: adjacent	neighbor / adjacent / close to
Environment	响	xiǎng	GT: ring	echo / sound / noise / to make a sound / to sound / to ring / loud / classifier for noises
Environment	居	jū	GT: House	surname Ju || (archaic) sentence-final particle expressing a doubting attitude || to reside / to be (in a certain position) / to store up / to be at a standstill / residence / house / restaurant / classifier for bedrooms
Environment	垃圾	lā jī	GT: Rubbish	trash / refuse / garbage / (coll.) of poor quality / Taiwan pr. [le4 se4]
Environment	桶	tǒng	GT: barrel	bucket / (trash) can / barrel (of oil etc) / CL: 個｜个, 隻｜只
Environment	丢	diū	GT: throw	to lose / to put aside / to throw
Environment	脏	zàng	GT: dirty	viscera / (anatomy) organ || dirty / filthy
Environment	垃	lā	GT: garbage	see 垃圾 / Taiwan pr. [le4]
Environment	圾	jī	GT: Rubbish	see 垃圾 / Taiwan pr. [se4]
Work	先生	xiān sheng	GT: Mr	Mister (Mr.) || teacher / husband / doctor (dialect) / CL: 位
Work	小姐	xiǎo jie	GT: Young lady	young lady / miss / (slang) prostitute / CL: 個｜个, 位
Work	经理	jīng lǐ	GT: manager	manager / director / CL: 個｜个, 位, 名
Work	同事	tóng shì	GT: colleague	colleague / co-worker / CL: 個｜个, 位
Work	突然	tū rán	GT: suddenly	sudden / abrupt / unexpected
Work	重要	zhòng yào	GT: important	important / significant / major
Work	会议	huì yì	GT: meeting	meeting / conference / CL: 場｜场, 屆｜届
Work	突	tū	GT: Sudden	to dash / to move forward quickly / to bulge / to protrude / to break through / to rush out / sudden / Taiwan pr. [tu2]
Work	重	chóng	GT: weight	to repeat / repetition / again / re- / classifier: layer || heavy / serious / to attach importance to
Work	议	yì	GT: Discuss	to comment on / to discuss / to suggest
Work	解决	jiě jué	GT: solve	to settle (a dispute) / to resolve / to solve / to dispose of / to dispatch
Work	办法	bàn fǎ	GT: Method	means / method / way (of doing sth) / CL: 條｜条, 個｜个
Work	相信	xiāng xìn	GT: Believe	to be convinced (that sth is true) / to believe / to accept sth as true
Work	决	jué	GT: Decide	to decide / to determine / to execute (sb) / (of a dam etc) to breach or burst / definitely / certainly
Work	解	xiè	GT: solution	surname Xie || to divide / to break up / to split / to separate / to dissolve / to solve / to melt / to remove / to untie / to loosen / to open / to emancipate / to explain / to understand / to know / a solution / a dissection || to transport under guard || acrobatic display (esp. on horseback) (old) / variant of 懈 and 邂 (old)
Culture	界	jiè	GT: boundary	boundary / scope / extent / circles / group / kingdom (taxonomy)
Culture	河	hé	GT: River	river / CL: 條｜条, 道
Culture	世	shì	GT: world	surname Shi || life / age / generation / era / world / lifetime / epoch / descendant / noble
Culture	黄河	huáng hé	GT: Yellow River	Yellow River or Huang He
Culture	动物	dòng wù	GT: animal	animal / CL: 隻｜只, 群, 個｜个
Culture	有名	yǒu míng	GT: Famous	famous / well-known
Culture	世界	shì jiè	GT: world	world / CL: 個｜个
Culture	长江	cháng jiāng	GT: Yangtze	Yangtze River, or Chang Jiang
Culture	江	jiāng	GT: River	surname Jiang || river / CL: 條｜条, 道
Culture	多么	duō me	GT: how	how (wonderful etc) / what (a great idea etc) / however (difficult it may be etc) / (in interrogative sentences) how (much etc) / to what extent
Culture	熊猫	xióng māo	GT: panda	panda / CL: 隻｜只
Culture	西安	xī ān	GT: Xi'an	Xi'an, sub-provincial city and capital of Shaanxi 陝西省｜陕西省 in northwest China / see 西安區｜西安区
Culture	啊	ā	GT: what	interjection of surprise / Ah! / Oh! || interjection expressing doubt or requiring answer / Eh? / what? || interjection of surprise or doubt / Eh? / My! / what's up? || interjection or grunt of agreement / uhm / Ah, OK / expression of recognition / Oh, it's you! || modal particle ending sentence, showing affirmation, approval, or consent
Culture	熊	xióng	GT: Bear	surname Xiong || bear / to scold / to rebuke / brilliant light / to shine brightly
Culture	长城	cháng chéng	GT: Great Wall	the Great Wall
Culture	故宫	gù gōng	GT: Forbidden City	the Forbidden City / abbr. for 故宮博物院｜故宫博物院 || former imperial palace
Culture	宫	gōng	GT: palace	surname Gong || palace / temple / castration (as corporal punishment) / first note in pentatonic scale
Hobbies 3	山	shān	GT: mountain	surname Shan || mountain / hill / anything that resembles a mountain / CL: 座 / bundled straw in which silkworms spin cocoons / gable
Hobbies 3	者	zhě	GT: Person	(after a verb or adjective) one who (is) ... / (after a noun) person involved in ... / -er / -ist / (used after a number or 後｜后 or 前 to refer to sth mentioned previously) / (used after a term, to mark a pause before defining the term) / (old) (used at the end of a command) / (old) this
Hobbies 3	爬	pá	GT: climb	to crawl / to climb / to get up or sit up
Hobbies 3	或	huò	GT: or	maybe / perhaps / might / possibly / or
Hobbies 3	自行车	zì xíng chē	GT: bicycle	bicycle / bike / CL: 輛｜辆
Hobbies 3	或者	huò zhě	GT: or	or / possibly / maybe / perhaps
Hobbies 3	爬山	pá shān	GT: Climb	to climb a mountain / to mountaineer / hiking / mountaineering
